Number of elements, Number of comparisons
100000, 321667287077347
150000, 499478936681557
200000, 643222905805323
250000, 851984089885665
300000, 998511197963263
350000, 1133119771842155
400000, 1285354891517473
450000, 1492234880117737
500000, 1703766318308035
550000, 1873215667009409
600000, 1997159837282007
650000, 2126678875108225
700000, 2265217344267323
750000, 2409219011833681
800000, 2569614569573337
850000, 2776967004775205
900000, 2983585000572613
950000, 3195378431966563
1000000, 3410397383805341
